eGfhM9aE,2021.05.16,15:26:36,600+0,Normal,0-1,schandrakanth,1403,-5,jacobaharris,1409,+6
hTl4L53q,2021.05.16,15:33:42,600+0,Normal,0-1,gumalo75,1408,-6,jacobaharris,1415,+6
q1F6vGb5,2021.05.16,15:46:54,600+0,Time forfeit,1-0,jacobaharris,1421,+7,manaswee124,1430,-6
vCW17Y8L,2021.05.17,15:40:46,600+0,Normal,1-0,ellokitozai12,1458,+6,jacobaharris,1428,-6
XJXGkcvy,2021.05.17,16:00:29,600+0,Normal,1-0,Dan168,1423,+6,jacobaharris,1422,-5
gCgB65xn,2021.05.17,16:10:14,600+0,Normal,1-0,atahan09,1391,+8,jacobaharris,1417,-6
5kZexqDm,2021.05.17,16:17:45,600+0,Normal,0-1,jacobaharris,1411,-6,EtcPasswd,1437,+5
oFd9wQ2s,2021.05.17,16:21:48,600+0,Normal,0-1,Mitttya,1276,-4,jacobaharris,1405,+4
TZlwTJCm,2021.05.17,16:27:43,600+0,Normal,0-1,Konstantin-978,1439,-8,jacobaharris,1409,+7
qyFJzwAu,2021.05.17,16:42:17,600+0,Normal,1/2-1/2,jacobaharris,1416,-5,shihabchithal,1044,+5
BLYBKn6x,2021.05.17,17:34:58,600+0,Normal,0-1,jacobaharris,1411,-6,mrrkyyy,1396,+6
RCi06SXl,2021.05.17,17:44:54,600+0,Normal,1-0,jacobaharris,1405,+9,Slandzica,1520,-7
EM4uyUs0,2021.05.17,17:46:00,600+0,Normal,1-0,brigo69,1439,+6,jacobaharris,1414,-6
Dsfutzqr,2021.05.17,17:52:23,600+0,Normal,0-1,jacobaharris,1408,-5,C9SUPREMO,1425,+6
xRdR8oXZ,2021.05.17,18:08:12,600+0,Normal,1-0,singhBist,1375,+7,jacobaharris,1403,-6
4No6gLFN,2021.05.17,18:22:37,600+0,Normal,0-1,jacobaharris,1397,-6,singhBist,1382,+7
3775lEYT,2021.05.17,18:32:49,600+0,Normal,0-1,i_was_banned,1395,-10,jacobaharris,1391,+6
3oBV2u9e,2021.05.17,23:21:20,600+0,Time forfeit,1-0,Vladivostok2021,1417,+6,jacobaharris,1397,-5
ghK2euRp,2021.05.17,23:40:26,600+0,Normal,0-1,jacobaharris,1392,-6,HitsuX,1384,+7
DpKk0b4N,2021.05.17,23:49:37,600+0,Normal,0-1,withersb150,1368,-10,jacobaharris,1386,+6
sVjFD4GL,2021.05.18,00:04:04,600+0,Normal,0-1,jacobaharris,1392,-6,CheGueLeo,1392,+6
SpZvkMOl,2021.05.18,00:15:33,600+0,Normal,1-0,ratumas,1140,+10,jacobaharris,1386,-9
b5OLMc1P,2021.05.18,00:27:34,600+0,Normal,0-1,Abelardo2021,665,+0,jacobaharris,1377,+0
3REUEbKI,2021.05.18,00:31:09,600+0,Normal,0-1,jacobaharris,1377,-6,Wander_oliver,1334,+7
nw03zfwE,2021.05.19,00:27:22,600+0,Normal,1-0,jacobaharris,1371,+6,RaphaelComba,1381,-31
4YTAc7SQ,2021.05.19,00:35:34,600+0,Normal,0-1,Penzias,1361,-6,jacobaharris,1377,+6
jIf3Q04r,2021.05.19,00:49:30,600+0,Normal,1-0,jacobaharris,1383,+6,MarioJemio,1386,-6
2mTLkwcL,2021.05.19,00:59:51,600+0,Normal,1-0,jacobaharris,1389,+6,Javilon6351xd,1412,-6
Vu5oaU9T,2021.05.19,01:07:29,600+0,Time forfeit,1-0,o3kenobi,1392,+6,jacobaharris,1395,-5
MGosjqlF,2021.05.19,01:22:30,600+0,Normal,1-0,jacobaharris,1390,+6,pedramghozat,1403,-5
Teiuw5C6,2021.05.19,14:57:45,600+0,Normal,1-0,jacobaharris,1396,+7,dashingpool1,1424,-6
Jej1imo8,2021.05.19,15:15:00,600+0,Normal,1-0,marquitos97,1407,+6,jacobaharris,1403,-6
5ywKS62Z,2021.05.19,15:34:04,600+0,Normal,0-1,OwenGK,1525,-9,jacobaharris,1397,+8
VUNYbMRQ,2021.05.19,15:36:25,600+0,Normal,0-1,jacobaharris,1405,-6,Harrieb,1378,+10
nxqIKYx3,2021.05.19,15:46:17,600+0,Normal,0-1,JCVives,1440,-6,jacobaharris,1399,+7
SurAfc2I,2021.05.19,16:00:14,600+0,Normal,0-1,tavietonchien,1410,-6,jacobaharris,1406,+6
